idx,direction,label,fvg_present,fvg_size_atr,fvg_distance,fvg_mitigated,ob_present,ob_size_atr,ob_distance,ob_vol_ratio,bos_count,choch_count,swing_count,trend_align,nearby_liq_count,body_ratio,vol_ratio,upper_wick_atr,lower_wick_atr,candle_align,dist_to_high_atr,dist_to_low_atr,atr_val
6615,1,0,1,0.16299156589776895,0.0,1,1,1.633369004674324,15.28,1.7368243774785979,27,9,6,1,26,0.8722835172086095,1.3071427942353675,0.13961995732140473,0.09328320292652016,1,4.6680215425261755,3.466517630322136,492.0499999999993
6624,1,0,1,0.07639836289223069,0.0,1,1,1.2479939953304746,15.64,1.7368243774785979,27,9,6,0,26,0.5915963431682179,0.8587392538672898,0.18369768963720146,0.17702059694539687,1,4.865581916392165,1.590545591676923,643.9928571428557
6627,1,0,1,0.006482373700078763,0.0,1,1,1.4080753184872827,15.76,1.7368243774785979,27,9,6,0,26,0.7103518612771657,0.5015598609979015,0.01892152323266957,0.18010486928880884,1,4.65732270457646,2.6269381421366895,570.77857142857
6649,1,0,1,0.22295205029558576,0.0,1,1,1.5083029346908132,16.64,1.7368243774785979,27,9,6,1,26,0.9277669902792485,0.9906092260639074,0.06756122736229707,0.03715867504926885,1,2.17884958243408,2.5879703481279903,532.8500000000001
6663,1,0,1,0.15333369539636826,0.0,1,1,2.0369284495555644,17.2,1.7368243774785979,27,9,6,1,26,0.9740497633800328,2.1502910676982383,0.007349879614044481,0.035735621571711895,1,1.2973804739405148,5.140100291460731,394.5642857142863
6738,-1,1,1,0.12816402294971058,0.0,1,1,2.0045546549808804,0.16,4.260354258023149,21,9,6,1,26,0.8948617322178097,1.6080704383423312,0.0,0.2267971650354319,1,3.2149285633929656,2.250843739453254,507.94285714285587
6742,-1,1,1,0.5460992907801401,0.0,1,1,1.7077330197551295,0.32,4.260354258023149,21,9,6,1,26,0.9192010438530572,1.0482062845048516,0.0001677209124115263,0.13484761357102043,1,3.38427257044278,1.2721631205673773,596.2285714285707
6766,-1,1,1,0.08982815094001274,0.0,1,1,2.132003568971444,1.28,4.260354258023149,21,9,6,1,26,0.8349071963258013,0.4003336226040791,0.04543754954307573,0.06072299247692963,1,4.8061201597343555,0.6635557350323823,477.5785714285724
6775,-1,1,1,0.30241205538432403,0.0,1,1,3.4871542302705585,1.64,4.260354258023149,21,9,6,1,26,0.6742928452298446,0.43060485968002143,0.0,0.26816380449142324,1,7.552424286902475,1.3939038113410627,291.9857142857145
6793,1,1,1,0.018402188698852066,0.0,1,1,1.7197470558790682,22.4,1.7368243774785979,27,9,6,0,26,0.8497630331552154,0.7006344324392183,0.11512066883703048,0.020541978082439877,1,5.1451235728368925,1.1176119950479046,467.33571428571514
6838,-1,0,1,0.31057081066911707,0.0,1,1,2.3354723544301756,4.16,4.260354258023149,21,9,6,0,26,0.7327102803601362,0.8647119757400571,0.16147847172161048,0.16652467396290402,1,2.2350088472377023,8.086768464512755,435.97142857142796
6842,-1,0,1,0.12253681725472582,0.0,1,1,2.2893007632453823,4.32,4.260354258023149,21,9,6,0,26,0.6964143426017481,0.35538896799761877,0.06745145903929861,0.10387524692051332,1,1.9515955482037066,8.166123307691086,444.764285714285
6865,-1,0,1,0.3880215416417122,0.0,1,1,3.8771661487515656,5.24,4.260354258023149,21,9,6,0,26,0.7885015608535851,2.2298350698038814,0.00038078659630626883,0.30919871620517864,1,2.347930152858615,10.617091878365876,262.6142857142856
6878,-1,0,1,1.2309389397183812,0.0,1,1,4.6248747850561225,5.76,4.260354258023149,21,9,6,1,26,0.8752692804636932,3.0803120117166505,0.027253260657971543,0.23574070469146044,1,5.6350658620465754,5.133605865939892,220.15714285714316
6880,1,1,1,0.2438072361507276,0.0,1,1,1.2736826302356976,0.04,3.0110742931188237,28,9,6,0,26,0.7166217430239653,2.595746813436043,0.43549016664163837,0.2274133013061036,1,3.651223540008994,4.211980183155673,237.89285714285765
